Faculty/Portfolio,School/Division,Organisational Unit Title
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Chinese Studies
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Chronic Disease and Ageing
eSolutions and Student Services,eSolutions,City Service Centre
Provost and Senior Vice-President,Monash Sustainable Development Institute,Climateworks Centre
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Climateworks Centre
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Climateworks Centre Operations
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Climateworks Engagement and Partnerships
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Climateworks Program Delivery
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Climateworks Strategy
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Clinical Registries
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Clinical Trials and Cohort Studies
Provost and Senior Vice-President,Monash University Library,Collections and Technology Division
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),Communications and Community
Faculty of Arts,School of Media Film and Journalism,Communications and Media Studies
Chief Operating Officer and Senior Vice-President,Campus Community Division,Community Safety and Security
Vice-President (Services),Campus Community Division,Community Safety and Security
Faculty of Arts,Sir Zelman Cowen School of Music and Performance,Composition and Music Technology
eSolutions and Student Services,Strategic Operations,Contracts and Commercial Solutions
Chief Operating Officer and Senior Vice-President,Campus Community Division,Counselling and Mental Health Programs
Vice-President (Services),Campus Community Division,Counselling and Mental Health Programs
eSolutions and Student Services,Monash Connect,Coursework Scholarships Unit
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Cranlana Centre for Ethical Leadership
Faculty of Arts,School of Social Sciences,Criminology
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Cryo Electron Microscopy (CryoEM)
Chief Operating Officer and Senior Vice-President,Monash HR,Culture and Engagement
eSolutions and Student Services,eSolutions,Customer Relationship Management
eSolutions and Student Services,eSolutions,Cyber Risk and Resilience
eSolutions and Student Services,eSolutions,Data Engineering Services
Vice-Chancellor and President,Office of the Pro Vice-Chancellor (Indonesia),Data Science Indonesia
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),Demand Generation and Audience Marketing
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Department of Diabetes
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Department of Epidemiology and Preventive Medicine Alfred Hospital
Faculty of Medicine Nursing and Health Sciences,Sub Faculty of Translational Medicine and Public Health,Department of Epidemiology and Preventive Medicine Alfred Hospital
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Department of Forensic Medicine
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Department of Gastroenterology
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Department of General Practice
Faculty of Medicine Nursing and Health Sciences,School of Primary and Allied Health Care,Department of General Practice
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Department of Infectious Diseases
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Department of Neuroscience
Faculty of Medicine Nursing and Health Sciences,School of Primary and Allied Health Care,Department of Paramedicine
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Department of Psychiatry (CCS)
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Department of Radiology and Radiological Sciences
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Department of Tourism
Vice-Chancellor and President,Advancement,Development
eSolutions and Student Services,eSolutions,Digital Transformation
Chief Operating Officer and Senior Vice-President,Campus Community Division,Disability Support Services
Provost and Senior Vice-President,Monash University Library,Document Delivery Services
Chief Operating Officer and Senior Vice-President,Office of Student Recruitment and Admissions,Domestic Student Recruitment
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),Domestic Student Recruitment
eSolutions and Student Services,eSolutions,eAssessment Service Centre
eSolutions and Student Services,Student Services,eAssessment Support
Faculty of Medicine Nursing and Health Sciences,Eastern Health Clinical School,Eastern Clinical Research Unit
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Education Development Unit
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Education Impact
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Education) and Senior Vice-President,Education Policy and Projects
Faculty of Medicine Nursing and Health Sciences,Eastern Health Clinical School,EHCS Research
Faculty of Arts,School of Languages Literature Cultures and Linguistics,English As An International Language
Chief Operating Officer and Senior Vice-President,Campus Community Division,English Connect
Chief Operating Officer and Senior Vice-President,Student and Education Business Services,Enrolment and Graduation
eSolutions and Student Services,Monash Connect,Enrolment and Graduation
eSolutions and Student Services,Student Services,Enrolment and Graduation
eSolutions and Student Services,eSolutions,Enterprise Engineering
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,Enterprise Innovation
eSolutions and Student Services,eSolutions,eResearch
eSolutions and Student Services,eSolutions,eSolutions Administrative and Business Support
Faculty of Arts,School of Languages Literature Cultures and Linguistics,European Languages
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Evidence Synthesis Qualitative and Implementation Methods
Chief Operating Officer and Senior Vice-President,Student and Education Business Services,Examinations
eSolutions and Student Services,eSolutions,Examinations
eSolutions and Student Services,Student Services,Examinations
Provost and Senior Vice-President,Monash University Library,Excellence and Engagement
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,Executive Services
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Academic Services Unit
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Econometrics and Business Statistics
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Education
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Library
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Maintenance Minor Works and Grounds
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Management
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Marketing
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Nursing and Midwifery
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Residential Services
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland School of Applied Media and Social Sciences
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland School of Applied Sciences and Engineering
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland School of Information Technology
Miscellaneous,Federation University Australia Gippsland,Federation University Australia Gippsland Student Services Unit
Miscellaneous,Federation University Australia Gippsland,Federation University Australia IT Service Centre Gippsland
Faculty of Arts,School of Media Film and Journalism,Film and Screen Studies
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Finance Strategy and Operations
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Financial Accounting
Chief Financial Officer and Senior Vice-President,Corporate Finance Division,Financial Accounting
Faculty of Business and Economics,Department of Accounting,Financial Accounting and Auditing
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Fire to Flourish
Chief Operating Officer and Senior Vice-President,Monash HR,Flexible Administration Services Team (FAST)
Faculty of Medicine Nursing and Health Sciences,Faculty of Medicine Nursing and Health Sciences Research Platforms,FlowCore
Faculty of Arts,School of Languages Literature Cultures and Linguistics,French Studies
Vice-Chancellor and President,Monash University Performing Arts Centres Operations,George Jenkins Theatre
Faculty of Arts,School of Languages Literature Cultures and Linguistics,German Studies
Chief Operating Officer and Senior Vice-President,University Marketing Admissions and Communications (UMAC),Global Conversion
eSolutions and Student Services,eSolutions,Google Applications
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,Government Relations and Precincts
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Graduate Research Office
Chief Operating Officer and Senior Vice-President,Student and Education Business Services,Graduations
eSolutions and Student Services,Monash Connect,Graduations
eSolutions and Student Services,Student Services,Graduations
Chief Financial Officer and Senior Vice-President,Corporate Finance Division,Group Accounting
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Group Accounting
Chief Financial Officer and Senior Vice-President,Office of the Deputy Chief Financial Officer and Executive Director Corporate Finance Division,Group Accounting and Taxation
Provost and Senior Vice-President,Monash University Library,Hargrave Andrew Library
eSolutions and Student Services,eSolutions,Health Informatics and Technology Solutions
Chief Operating Officer and Senior Vice-President,Campus Community Division,Health Services Caulfield
Chief Operating Officer and Senior Vice-President,Campus Community Division,Health Services Clayton
Faculty of Medicine Nursing and Health Sciences,School of Public Health and Preventive Medicine,Health Systems Services and Policy
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,HER Centre Australia
Faculty of Medicine Nursing and Health Sciences,School of Biomedical Sciences,Histology
Faculty of Arts,School of Philosophical Historical and International Studies (SOPHIS),History
Chief Operating Officer and Senior Vice-President,Monash HR,HR Business Partnering
Chief Operating Officer and Senior Vice-President,Monash HR,HR Business Support
Chief Operating Officer and Senior Vice-President,Monash HR,HR Projects
Chief Operating Officer and Senior Vice-President,Monash HR,HR Services and Analytics
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Hudson Affiliates
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Hudson Centre for Cancer Research
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Hudson Centre for Endocrinology and Metabolism
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Hudson Centre for Innate Immunity and Infectious Disease
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Hudson Centre for Reproductive Health
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Hudson Department of Molecular and Translational Science MTS
Faculty of Medicine Nursing and Health Sciences,School of Clinical Sciences at Monash Health,Hudson The Ritchie Centre
Faculty of Arts,School of Social Sciences,Human Geography
eSolutions and Student Services,eSolutions,Identity Services
Faculty of Medicine Nursing and Health Sciences,Central Clinical School,Immunology Alfred Hospital
Faculty of Arts,School of Languages Literature Cultures and Linguistics,Indonesian Studies
Provost and Senior Vice-President,Monash University Library,Information Resources Department
eSolutions and Student Services,eSolutions,Infrastructure Platforms
eSolutions and Student Services,eSolutions,Infrastructure Productivity
Provost and Senior Vice-President,Office of the Vice-Provost (Research),Institute for Safety Compensation and Recovery Research (ISCRR)
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,Institute for Safety Compensation and Recovery Research (ISCRR)
Faculty of Engineering,Mechanical and Aerospace Engineering,Institute of Railway Technology
Vice-Chancellor and President,Office of the Deputy Vice Chancellor (Research) and Senior Vice President,Institute of Vector Borne Disease (IVbD)
Vice-Chancellor and President,Office of the Deputy Vice-Chancellor (Enterprise and Engagement) and Senior Vice-President,Intelligence and Insights
